age_midpoint,gender,occupation_group,experience_midpoint,salary_midpoint,programming_ability,job_satisfaction,commit_frequency,dogs_vs_cats,why_learn_new_tech
22,0,7,3.2,24162.92982,4,-2,5,1,3
27,0,2.032242613,8,2000,7,0,3,1,2
22,0,0,1.2,24162.92982,7,0,0,1,2
27,0,16,3.2,12000,7,2,0,1,2
37,0,0,13,32000,10,4,0,1,3
27,0,3,3.2,12000,7,2,0,1,2
32,0,0,13,132000,10,3,0,1,3
27,0,17,8,22000,8,2,4,0,2
22,0,3,3.2,32000,7,2,0,1,2
27,0,0,3.2,12000,9,2,3,1,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,1,7,3.2,24162.92982,4,-2,2,1,4
27,-1,2.032242613,3.2,32000,8,0,3,0,2
32,0,1,13,92000,8,2,0,1,2
27,0,1,8,32000,7,2,0,0,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,13,210000,7.103284031,0,0,-1,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,1.2,12000,2,2,2,1,2
22,0,12,3.2,12000,7,0,0,0,2
22,0,7,13,24162.92982,8,-2,5,1,2
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,1.2,24162.92982,7,-2,5,1,2
22,0,7,3.2,2000,2,-2,3,0,4
27,0,1,3.2,72000,10,-2,-2,-2,-2
22,0,7,8,2000,7,-2,3,0,4
32,0,13,8,92000,7,0,3,0,3
24.2,0,3,13,92000,10,0,0,0,3
44.2,0,3,13,92000,10,0,0,0,0
27,0,0,3.2,82000,8,2,0,0,3
27,0,7,1.2,2000,2,-2,4,1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,14,13,72000,7,2,0,0,-2
32,0,0,13,72000,8,0,0,1,2
27,0,0,3.2,82000,7,2,0,1,3
32,0,6,13,12000,6,3,4,1,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,1,0.2,2000,4,3,0,1,2
22,0,6,1.2,2000,7,4,2,1,2
22,0,7,1.2,2000,2,4,4,-1,2
37,0,0,13,12000,7,0,0,0,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,0,8,22000,8,0,0,-1,0
22,0,10,3.2,22000,7,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,0.2,24162.92982,4,-2,4,1,4
22,0,3,1.2,24162.92982,6,-2,2,0,2
22,1,7,1.2,2000,2,-2,5,1,2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,3.2,32000,6,-2,-2,-2,-2
27,0,0,3.2,42000,6,2,2,1,3
27,0,1,3.2,32000,6,0,3,0,0
27,0,0,3.2,32000,8,2,0,0,2
27,0,1,8,42000,2,2,5,1,2
32,0,0,8,22000,8,2,0,1,2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
24.2,0,12,13,24162.92982,8,0,3,1,3
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,12,13,62000,6,0,0,0,3
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,18,3.2,24162.92982,6,-2,5,1,4
27,0,8,8,42000,7,2,0,-2,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,1.2,32000,7,-2,-2,-2,-2
22,0,0,0.2,2000,3,-2,0,1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,3.2,42000,8,-2,2,0,3
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,12,8,42000,8,0,0,0,0
37,0,0,13,32000,7,0,3,0,4
27,0,4,3.2,62000,6,-2,-2,-2,-2
16,0,6,0.2,12000,6,-2,3,1,2
27,0,3,8,22000,8,0,0,0,3
22,0,7,0.2,2000,7,-2,0,-1,3
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,3.2,42000,8,-2,-2,-2,-2
32,0,8,3.2,22000,6,0,0,1,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,12,1.2,22000,6,-2,5,1,2
37,0,11,8,2000,7,4,0,0,-2
22,0,14,1.2,24162.92982,6,2,2,0,3
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,8,62000,8,-2,0,0,6
27,0,1,3.2,32000,8,4,0,0,3
27,0,13,3.2,22000,7,3,0,0,3
37,0,12,13,132000,8,0,5,-1,3
32,0,11,8,62000,6,0,0,0,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,-2,8,3.2,42000,7,-2,3,1,0
27,0,3,3.2,42000,6,2,0,0,0
22,0,0,3.2,22000,8,3,0,0,4
32,0,1,3.2,24162.92982,7,0,0,0,3
32,0,1,13,24162.92982,9,2,0,-2,3
16,0,7,3.2,2000,6,-2,3,-1,3
27,0,0,3.2,62000,6,2,0,-1,3
44.2,0,0,13,24162.92982,6,0,0,1,0
22,0,0,3.2,2000,6,2,2,1,3
37,0,18,13,62000,10,2,0,-1,0
32,0,13,3.2,12000,2,2,0,1,3
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,13,3.2,42000,7,2,-2,1,3
22,1,4,3.2,24162.92982,7.103284031,0,2,1,-1
32,0,12,13,24162.92982,8,0,0,1,3
32,0,0,13,22000,7,2,0,0,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,1,7,3.2,12000,2,2,4,1,2
32,0,9,3.2,22000,8,4,0,1,2
27,0,8,3.2,12000,7,2,0,1,4
27,0,0,8,42000,8,3,2,0,-2
27,0,7,3.2,12000,7,-2,3,1,3
27,0,0,13,24162.92982,8,-1,0,1,3
22,0,7,8,24162.92982,6,-2,3,-1,3
37,0,3,8,82000,9,2,-2,-2,-2
37,0,13,13,22000,8,2,0,-1,0
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,1,13,42000,7,4,0,-1,4
27,0,1,3.2,32000,7,3,2,1,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,1,13,42000,8,2,0,-1,2
44.2,-1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,7,3.2,12000,4,-2,3,-1,2
27,0,0,8,32000,7,4,0,-1,4
32,0,0,13,22000,8,2,0,-1,2
37,0,3,13,92000,9,0,0,1,2
22,0,7,3.2,24162.92982,8,-2,0,-1,0
27,0,3,8,2000,7,-2,0,1,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,3,1.2,12000,4,4,2,1,4
37,0,8,13,22000,9,2,3,1,3
32,0,8,8,24162.92982,9,0,5,1,0
27,0,14,3.2,12000,2,-2,5,1,2
27,0,6,13,22000,10,3,0,1,2
22,0,0,8,22000,7,2,2,-1,2
37,0,11,13,24162.92982,2,4,0,0,2
22,0,13,3.2,24162.92982,7,2,0,1,0
27,0,20,8,32000,8,3,0,1,0
32,0,3,8,82000,9,0,0,0,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,3.2,42000,7,2,0,0,0
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,1.2,2000,2,-2,4,1,2
22,0,7,8,24162.92982,2,-2,0,-1,0
22,0,7,1.2,2000,6,-2,3,1,4
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,13,8,24162.92982,6,0,3,0,4
27,0,3,1.2,2000,3,2,3,1,4
22,0,7,1.2,24162.92982,7,-2,-2,0,4
27,0,1,8,22000,6,2,0,0,4
32,0,0,3.2,42000,8,-2,0,1,3
27,0,1,3.2,62000,6,4,0,0,2
32,0,0,3.2,42000,8,4,0,1,3
37,0,0,8,112000,7,3,0,0,2
27,0,13,3.2,22000,3,2,5,1,2
44.2,0,2.032242613,3.2,24162.92982,6,2,4,-1,2
22,0,6,3.2,42000,7,0,0,1,3
32,0,0,8,72000,9,2,3,0,2
37,0,0,8,22000,8,2,0,0,3
37,0,4,13,122000,7,0,2,1,3
22,0,0,8,62000,8,0,3,-1,0
27,0,0,3.2,12000,7,0,0,0,2
22,0,3,1.2,24162.92982,7,-2,5,0,0
22,0,0,3.2,22000,9,0,0,-1,3
22,0,0,3.2,72000,7,0,0,0,2
22,0,7,3.2,2000,7,-2,2,-1,3
44.2,0,0,13,24162.92982,8,4,0,0,3
27,0,10,3.2,22000,7,4,2,1,0
27,0,1,3.2,32000,7,3,0,0,2
32,0,8,1.2,42000,7,2,0,1,3
27,1,3,3.2,2000,6,-2,0,-1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,3.2,2000,8,-2,2,1,3
32,0,13,3.2,72000,9,2,3,1,2
32,0,1,8,62000,7,2,0,-1,2
44.2,0,0,13,102000,8,2,0,-2,3
32,0,1,3.2,62000,8,2,0,0,2
24.2,0,1,13,62000,9,3,3,1,3
27,0,13,3.2,22000,10,2,0,1,2
32,1,7,0.2,24162.92982,2,-2,3,-1,3
22,-1,7,8,24162.92982,2,0,-2,0,3
27,0,1,8,72000,7,0,0,1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,13,3.2,24162.92982,4,-2,0,1,2
22,0,0,0.2,12000,9,2,0,1,2
22,0,7,1.2,24162.92982,2,-2,4,1,6
16,1,7,8,24162.92982,10,-2,-1,1,-1
24.2,0,17,13,62000,3,0,3,1,2
22,0,19,1.2,2000,4,0,2,1,0
37,0,20,1.2,22000,3,0,5,1,2
32,0,3,3.2,12000,8,4,0,1,2
32,0,0,13,42000,8,0,0,1,2
27,0,0,8,12000,8,2,0,1,2
44.2,0,0,13,22000,7,0,0,-2,-2
22,0,7,3.2,24162.92982,6,-2,4,1,3
27,0,1,0.2,12000,6,0,0,0,2
32,0,6,3.2,22000,8,2,0,1,0
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,7,3.2,2000,7,-2,5,1,2
44.2,0,9,13,32000,7,0,0,0,4
16,0,0,0.2,2000,2,-2,2,1,6
22,0,13,1.2,24162.92982,6,-2,-2,-2,-2
27,0,14,1.2,12000,4,2,2,1,0
16,0,0,3.2,2000,8,-2,3,1,2
44.2,0,2.032242613,13,24162.92982,8,-2,-2,-2,-2
32,0,6,8,22000,7,2,0,1,0
27,0,14,1.2,12000,6,2,5,0,2
22,0,8,1.2,2000,7,-2,2,1,2
22,0,1,1.2,2000,2,-2,0,1,0
22,0,3,1.2,12000,4,4,5,-1,2
27,0,0,3.2,2000,9,4,3,1,3
27,0,0,3.2,12000,8,2,0,1,3
32,0,1,3.2,2000,7,2,3,1,3
22,0,7,3.2,24162.92982,2,-2,5,1,3
22,0,1,0.2,2000,4,-1,2,-1,2
22,0,7,3.2,24162.92982,4,-2,4,1,2
22,0,8,1.2,24162.92982,7,-2,-2,-2,-2
27,0,1,3.2,22000,7,3,0,-2,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
29.69039071,0,8,1.2,22000,7,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,9,3.2,24162.92982,7,0,0,1,0
27,0,1,3.2,22000,7,4,2,-2,6
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,1,8,12000,10,2,0,0,2
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,13,3.2,42000,7,2,-2,-2,-2
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
24.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,7,0.2,2000,4,-2,2,1,2
27,0,0,3.2,32000,6,-2,-2,-2,-2
37,0,0,8,12000,7,2,0,1,4
32,0,3,3.2,42000,7,2,0,1,2
24.2,0,0,13,32000,9,2,0,0,2
32,1,13,8,72000,8,3,0,1,2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,7,0.2,2000,4,-2,-2,-2,-2
32,0,6,8,12000,8,4,3,0,0
27,0,3,8,42000,8,2,0,1,3
22,0,0,3.2,2000,4,4,2,-1,-2
32,0,0,8,22000,6,2,0,1,3
32,0,0,13,42000,10,3,3,0,-2
27,0,0,3.2,22000,7,2,2,0,2
32,0,0,8,42000,8,2,0,0,3
44.2,0,3,13,42000,10,0,0,1,3
44.2,0,19,8,2000,7,2,5,1,-2
44.2,0,0,13,24162.92982,9,2,2,-1,-1
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,12,8,24162.92982,8,2,0,1,3
44.2,0,14,13,12000,7,2,0,0,3
16,0,7,8,2000,10,-2,0,0,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,8,12000,8,2,3,1,-2
32,0,1,13,22000,7,0,0,1,2
32,0,13,8,22000,7,0,0,1,2
32,0,0,13,12000,7,2,0,1,3
22,0,7,8,2000,8,-2,2,1,4
27,0,13,13,12000,7,2,0,1,4
27,0,7,8,2000,6,-2,0,0,2
16,0,1,3.2,2000,8,-2,2,0,3
44.2,0,12,13,210000,10,0,2,-1,3
44.2,0,6,13,24162.92982,9,0,2,-1,2
32,0,1,3.2,12000,7,2,0,0,2
27,0,0,3.2,22000,7,3,0,0,4
27,0,7,3.2,24162.92982,7,-2,5,1,2
32,0,6,8,12000,8,2,3,0,2
32,0,0,3.2,12000,7,2,0,1,2
44.2,0,3,8,62000,7,-2,-2,-2,-2
37,1,1,8,42000,7,2,0,0,3
44.2,0,1,13,92000,8,0,0,0,3
32,0,1,13,32000,8,3,0,0,3
22,0,6,3.2,32000,7,0,0,1,2
22,0,7,3.2,24162.92982,7,-2,3,1,3
27,0,3,3.2,32000,9,2,0,0,0
44.2,0,0,13,62000,6,2,5,1,3
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,8,8,72000,4,0,3,1,0
22,0,13,1.2,22000,3,-2,0,0,4
27,0,1,1.2,32000,3,4,3,-1,2
32,0,6,13,22000,7,2,0,0,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,22000,8,0,0,1,0
22,0,3,3.2,32000,8,0,0,1,0
32,0,1,13,22000,10,2,0,1,4
27,0,0,0.2,12000,7,3,2,1,6
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,12000,8,3,2,-1,6
24.2,0,7,1.2,2000,3,-2,0,-1,2
37,0,0,13,32000,8,2,0,1,0
44.2,0,16,13,12000,8,-1,5,1,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,0,13,32000,9,2,2,1,0
37,0,3,13,32000,9,2,0,1,4
27,0,1,3.2,22000,6,-2,3,0,4
37,0,0,13,22000,7.103284031,2,0,1,2
27,1,1,3.2,32000,7,2,0,0,2
44.2,0,6,13,62000,8,0,4,-1,2
22,0,1,8,22000,7.103284031,0,0,-1,3
27,0,1,3.2,72000,8,0,0,1,2
27,0,0,3.2,42000,10,2,0,0,2
37,0,1,13,42000,8,0,0,0,3
32,0,13,13,112000,7,4,0,0,0
37,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,3.2,22000,7,2,3,0,3
22,0,13,3.2,22000,8,3,0,0,2
27,1,0,8,72000,8,0,0,1,2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,8,13,22000,8,2,3,1,0
32,0,0,8,82000,6,0,5,0,0
27,0,0,3.2,82000,9,3,0,0,2
27,0,11,3.2,2000,2,-2,0,-1,3
22,0,0,1.2,32000,7,2,2,1,3
27,0,0,8,22000,8,0,0,0,2
22,0,7,3.2,2000,7,-2,4,0,6
16,0,3,0.2,210000,7,0,2,1,2
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,0,13,92000,7,0,0,0,2
32,0,8,13,142000,8,0,3,1,2
27,0,12,1.2,42000,6,0,2,1,4
27,0,0,3.2,72000,6,2,0,1,3
27,0,1,3.2,102000,2,0,3,-1,2
32,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,13,13,32000,8,2,2,1,0
22,0,7,3.2,24162.92982,7,-2,2,0,3
22,0,3,1.2,12000,8,3,0,1,3
37,0,6,13,24162.92982,8,2,0,1,3
27,0,4,3.2,12000,2,0,0,0,6
22,0,9,3.2,12000,8,2,0,1,-2
27,0,0,8,24162.92982,10,0,0,1,0
27,0,4,8,22000,9,0,0,0,3
22,0,0,1.2,12000,4,2,2,1,0
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,12000,7,0,0,1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,1,8,62000,7,2,0,1,0
16,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,8,22000,7,2,0,0,0
27,0,0,3.2,24162.92982,7.103284031,-2,-2,-2,-2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
37,0,1,8,24162.92982,8,2,0,1,0
32,0,0,13,22000,8,0,0,1,0
32,0,12,13,2000,9,2,0,1,3
37,0,9,13,92000,8,2,-2,-1,0
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,3.2,24162.92982,7,2,0,-1,4
22,0,3,3.2,22000,6,3,0,1,3
22,0,7,3.2,2000,4,-2,3,0,2
27,0,6,1.2,12000,6,2,0,0,3
32,0,1,3.2,24162.92982,8,2,0,-2,3
22,1,7,1.2,24162.92982,4,-2,0,0,6
22,1,7,0.2,24162.92982,3,-2,5,1,3
27,0,0,8,72000,8,2,0,-1,2
32,0,0,8,42000,7,-2,-2,-2,-2
32,0,10,13,42000,7,2,0,0,2
16,0,7,0.2,24162.92982,8,-2,3,-1,0
22,0,1,1.2,22000,6,-2,-2,-2,-2
22,0,3,0.2,12000,2,-2,0,0,2
22,0,7,3.2,2000,4,-2,2,0,-2
27,1,13,3.2,12000,7,2,0,0,2
37,0,1,13,2000,8,-2,-2,-2,-2
32,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,1,3.2,32000,8,-2,0,1,3
22,0,1,1.2,12000,6,2,0,0,2
27,0,1,3.2,24162.92982,8,2,2,1,2
27,1,0,1.2,22000,3,2,3,1,6
22,0,7,1.2,2000,2,0,2,0,0
22,0,1,1.2,22000,7,0,0,0,3
22,0,7,8,24162.92982,4,-2,0,1,2
22,0,7,0.2,24162.92982,7,-2,5,0,3
27,0,1,1.2,12000,2,0,0,0,2
16,0,0,3.2,24162.92982,6,-2,2,1,2
16,0,3,1.2,24162.92982,6,4,0,1,2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,3.2,24162.92982,7,-2,5,0,2
22,0,1,0.2,2000,4,2,0,-1,6
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,3,8,22000,8,0,0,1,3
27,0,3,8,22000,9,2,0,0,4
22,0,18,1.2,24162.92982,6,-2,3,1,2
22,0,0,1.2,12000,2,3,2,1,2
32,0,0,8,22000,7,2,0,1,3
32,0,0,13,22000,6,2,0,0,3
22,0,0,3.2,12000,7,0,0,1,2
22,0,13,3.2,12000,7,0,0,-1,2
32,0,1,8,22000,7,4,0,1,2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,18,8,2000,10,0,0,0,2
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,0,3.2,2000,7,2,0,1,3
22,0,1,3.2,12000,7,2,0,0,-2
32,0,1,8,22000,7,-2,-2,-2,-2
27,0,0,3.2,32000,7,3,0,1,0
27,0,1,8,32000,8,4,0,1,2
27,0,12,3.2,22000,7,3,3,0,3
32,0,0,13,32000,8,2,2,-2,0
27,0,12,3.2,22000,7,3,3,0,6
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,1,1.2,22000,7,4,0,1,0
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,1,1.2,2000,8,4,0,1,2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,7,8,2000,6,-2,2,0,2
37,0,10,13,42000,2,4,3,-1,3
22,0,11,1.2,2000,4,2,-2,-2,-2
22,0,7,1.2,24162.92982,7,-2,0,1,2
22,0,6,0.2,12000,7,3,0,1,3
27,0,4,3.2,32000,7,2,0,0,0
27,0,3,13,24162.92982,10,-2,-2,-2,-2
27,0,3,1.2,12000,6,3,0,-1,-1
27,0,0,3.2,12000,8,2,0,1,2
27,0,1,1.2,2000,4,2,0,-1,2
22,0,7,8,24162.92982,7,0,3,0,3
37,0,16,8,22000,4,4,0,1,2
16,0,7,3.2,24162.92982,7,-2,0,1,2
16,0,7,3.2,24162.92982,8,-2,3,0,3
16,0,0,3.2,24162.92982,6,-2,3,1,2
32,0,0,13,22000,7,2,2,1,2
44.2,1,7,0.2,2000,1,-2,4,1,3
27,0,16,3.2,12000,8,2,0,1,3
27,0,7,1.2,2000,2,2,5,-1,6
22,0,13,0.2,12000,7,2,0,1,6
16,0,6,1.2,24162.92982,4,-2,2,0,3
37,0,10,3.2,2000,4,2,2,0,4
32,0,1,3.2,12000,8,4,3,0,0
22,0,7,3.2,24162.92982,6,-2,2,1,3
27,0,7,0.2,24162.92982,6,-2,4,-1,2
44.2,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
27,0,0,1.2,12000,7.103284031,2,0,1,0
44.2,1,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
16,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
44.2,0,0,8,2000,8,2,0,1,4
27,0,8,3.2,2000,7,2,3,1,2
16,1,7,1.2,24162.92982,8,-2,3,1,3
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
22,0,8,3.2,2000,4,-2,5,0,-2
37,0,0,8,12000,6,2,0,0,3
22,0,7,0.2,2000,2,-2,3,1,2
22,0,7,3.2,24162.92982,8,-2,3,0,3
32,0,8,8,22000,9,0,0,-1,6
27,0,0,3.2,24162.92982,7,3,0,1,3
27,0,1,1.2,2000,7,0,2,-1,3
32,1,1,8,22000,6,3,0,1,2
27,1,19,3.2,24162.92982,7,4,3,0,2
32,0,3,8,32000,9,-2,-2,-2,-2
22,0,6,1.2,2000,2,2,0,1,2
27,0,13,3.2,2000,2,2,4,0,3
27,0,0,3.2,22000,6,-2,-2,-2,-2
32,0,18,0.2,2000,3,0,0,1,6
27,0,12,8,12000,9,2,0,1,0
32,1,0,8,24162.92982,8,0,0,0,2
32,0,1,8,22000,7,2,0,1,2
27,1,1,3.2,22000,2,3,5,1,0
22,0,0,3.2,2000,9,0,0,0,2
22,0,0,3.2,12000,7,0,3,1,0
22,1,13,1.2,12000,7,2,0,0,0
27,0,2.032242613,6.268620699,24162.92982,7.103284031,-2,-2,-2,-2
32,0,0,8,12000,8,4,0,-1,0
